model,data_source,k,task_a,task_b,jaccard
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,holder_record_amount,incorporation_year,0.580000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,holder_record_amount,registrant_name,0.470000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,incorporation_state,incorporation_year,0.910000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,incorporation_state,registrant_name,0.510000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,incorporation_year,registrant_name,0.540000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,ceo_lastname,employees_count_total,0.610000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,ceo_lastname,headquarters_city,0.600000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,ceo_lastname,headquarters_state,0.630000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,ceo_lastname,holder_record_amount,0.590000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,ceo_lastname,incorporation_state,0.590000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,ceo_lastname,incorporation_year,0.590000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,ceo_lastname,registrant_name,0.560000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,employees_count_total,headquarters_city,0.700000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,employees_count_total,headquarters_state,0.700000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,employees_count_total,holder_record_amount,0.610000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,employees_count_total,incorporation_state,0.660000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,employees_count_total,incorporation_year,0.640000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,employees_count_total,registrant_name,0.590000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,headquarters_city,headquarters_state,0.940000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,headquarters_city,holder_record_amount,0.590000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,headquarters_city,incorporation_state,0.710000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,headquarters_city,incorporation_year,0.680000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,headquarters_city,registrant_name,0.670000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,headquarters_state,holder_record_amount,0.590000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,headquarters_state,incorporation_state,0.710000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,headquarters_state,incorporation_year,0.680000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,headquarters_state,registrant_name,0.670000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,holder_record_amount,incorporation_state,0.600000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,holder_record_amount,incorporation_year,0.570000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,holder_record_amount,registrant_name,0.490000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,incorporation_state,incorporation_year,0.880000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,incorporation_state,registrant_name,0.610000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,incorporation_year,registrant_name,0.570000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,ceo_lastname,employees_count_total,0.640000
